[2025-06-09T12:52:38Z] 172.19.0.1:48640 GET /health -> 200 3.229531ms
[2025-06-09T12:56:17Z] 172.19.0.1:58868 GET /health -> 200 3.278802ms
[2025-06-09T12:56:17Z] 172.19.0.1:58868 GET /health -> 200 1.052111ms
[2025-06-09T12:56:17Z] 172.19.0.1:58868 GET /health -> 200 992.106µs
[2025-06-09T12:56:17Z] 172.19.0.1:58868 GET /health -> 200 987.157µs
[2025-06-09T12:56:17Z] 172.19.0.1:58868 GET /health -> 200 979.749µs
[2025-06-09T12:56:19Z] 172.19.0.1:58868 GET /health -> 200 989.013µs
[2025-06-09T12:56:19Z] 172.19.0.1:58868 GET /health -> 200 977.143µs
[2025-06-09T12:56:20Z] 172.19.0.1:58868 GET /health -> 200 1.041717ms
[2025-06-09T12:56:20Z] 172.19.0.1:58868 GET /health -> 200 1.04011ms
[2025-06-09T12:56:20Z] 172.19.0.1:58868 GET /health -> 200 901.924µs
[2025-06-09T13:04:01Z] 172.19.0.1:46978 GET /health -> 200 3.895617ms
[2025-06-09T13:04:01Z] 172.19.0.1:46978 GET /health -> 200 1.246299ms
[2025-06-09T13:04:02Z] 172.19.0.1:46978 GET /health -> 200 1.06534ms
[2025-06-09T13:07:29Z] 172.19.0.1:44684 GET /health -> 200 4.475975ms
[2025-06-09T13:07:29Z] 172.19.0.1:44684 GET /health -> 200 1.048862ms
[2025-06-09T13:07:29Z] 172.19.0.1:44684 GET /health -> 200 983.238µs
[2025-06-09T13:07:29Z] 172.19.0.1:44684 GET /health -> 200 1.324724ms
