[2025-06-09T12:56:12Z] 172.19.0.1:52314 GET /template_health/ -> 200 284.369µs
[2025-06-09T12:56:14Z] 172.19.0.1:58820 GET /template_health/ -> 200 15.51µs
[2025-06-09T12:56:14Z] 172.19.0.1:58820 GET /template_health/ -> 200 9.238µs
[2025-06-09T12:56:14Z] 172.19.0.1:58820 GET /template_health/ -> 200 10.76µs
[2025-06-09T12:56:14Z] 172.19.0.1:58820 GET /template_health/ -> 200 9.839µs
[2025-06-09T13:03:58Z] 172.19.0.1:46918 GET /template_health/ -> 200 32.202µs
[2025-06-09T13:03:58Z] 172.19.0.1:46918 GET /template_health/ -> 200 19.187µs
[2025-06-09T13:03:58Z] 172.19.0.1:46918 GET /template_health/ -> 200 11.021µs
[2025-06-09T13:03:58Z] 172.19.0.1:46918 GET /template_health/ -> 200 9.007µs
[2025-06-09T13:03:58Z] 172.19.0.1:46918 GET /template_health/ -> 200 9.719µs
[2025-06-09T13:03:59Z] 172.19.0.1:46918 GET /template_health/ -> 200 8.887µs
